all account managers in the Monroe mi area with a degree and engineer,"""account manager"" bachelors (engineer OR engineering) ""Monroe, mi"""
Auto tech,Automotive AND Technician
String for automotive professionals in the collision industry,"site:slideshare.net (estimator OR appraiser OR technician) (collision OR autobody OR ""auto body"" OR bodyshop OR ""body shop"") (""gmail.com""|""yahoo.com""|""aol.com""|""hotmail.com""|""sbcglobal.net""|""earthlink.net"")
"
automotive professionals in the collision industry seeking employment,"site:linkedin.com/in (""seeking new"" OR ""looking for new"" OR unemployed OR ""currently seeking"" OR ""currently looking"") (""auto body"" OR autobody OR collision OR bodyshop OR ""body shop"") 
"
Automation Tester,"(""qa"" OR ""quality assurance"" OR ""quality analyst"" OR ""automated tester"")
AND ""sql"" AND agile AND scrum AND rest AND soap AND ""java"""
Android Developers,"android AND java AND (""mobile app"" OR ""android app"" OR ""mobile application"" OR ""android application"") AND (""android sdk"" OR ""android ndk"" OR ""android studio"" OR json OR rest OR restful)"
Devops BIg Dat,((&#34;devops&#34; OR &#34;site reliability&#34; OR &#34;sre&#34; OR (&#34;build&#34; AND &#34;release&#34;)) AND (&#34;continuous integration&#34; OR &#34;continuous deployment&#34; OR &#34;chef&#34; OR &#34;nagios&#34; OR &#34;puppet&#34; OR &#34;jenkins&#34; OR &#34;docker&#34; OR &#34;rocket&#34; OR &#34;ansible&#34; OR &#34;fabric&#34; OR &#34;collectd&#34; OR &#34;collectl&#34; OR &#34;elk&#34; OR &#34;monit&#34; OR &#34;nginx&#34; OR &#34;nuget&#34; OR &#34;saltstack&#34; OR &#34;capistrano&#34; OR &#34;gradle&#34; OR &#34;zabbix&#34; OR &#34;splunk&#34; OR &#34;new relic&#34;)) AND (&#34;big data&#34; AND (&#34;mapreduce&#34; OR &#34;hadoop&#34; OR &#34;spark&#34;) AND (&#34;python&#34; OR &#34;java&#34; OR &#34;nosql&#34; OR &#34;hive&#34; OR &#34;pig&#34; OR &#34;machine learning&#34; OR &#34;sql&#34; OR &#34;scala&#34; OR &#34;mongodb&#34; OR &#34;cassandra&#34; OR &#34;hbase&#34; OR &#34;aws&#34; OR &#34;backend&#34; OR &#34;architecture&#34; OR &#34;mysql&#34; OR &#34;infrastructure&#34; OR &#34;redis&#34; OR &#34;distributed systems&#34;))
List node.js Framework,&#34;Express&#34; OR &#34;kraken.js&#34; OR &#34;Hapi.js&#34; OR &#34;Koa.js&#34; OR &#34;TotalJS&#34; OR &#34;Locomotive&#34; OR &#34;TWEE.IO&#34; OR &#34;Flatiron&#34; OR &#34;diet.js&#34; OR &#34;SailsJS&#34; OR &#34;Nodal&#34; OR &#34;Adonis&#34; OR &#34;Trails&#34; OR &#34;Strapi&#34; OR &#34;RhapsodyJS&#34; OR &#34;Compound.js&#34; OR &#34;ThinkJS&#34; OR &#34;Geddy&#34; OR &#34;Meteor&#34; OR &#34;DerbyJS&#34; OR &#34;GeddyJS&#34; OR &#34;TowerJS&#34; OR &#34;Mean.js &#34; OR &#34;Mean.io&#34; OR &#34;Mojito&#34; OR &#34;Feathers&#34; OR &#34;Keystone&#34; OR &#34;Knockout.js&#34; OR &#34;SocketStream&#34; OR &#34;seneca.js&#34; OR &#34;Catberry&#34; OR &#34;AllcountJS.&#34; OR &#34;Flatiron&#34; OR &#34;Connect&#34; OR &#34;Socket.IO&#34; OR &#34;Noda&#34; OR &#34;RESTify&#34; OR &#34;Frisby&#34; OR &#34;Partial.js&#34; OR &#34;Raddish&#34; OR &#34;Fortune.js&#34; OR &#34;percolator&#34; OR &#34;Ionic&#34; OR &#34;Devisjs&#34;
Xen Virtualization Software Engineer with Linux kernel programming & C++,"(""Xen Project"" OR ""OpenEmbedded"" OR ""Open Embedded"" OR ""XenClient XT"" OR xen OR ""xen project"" OR "" Yocto Project"" OR ""Xen-hypervisor"" OR hypervisor OR ""xen hypervisor"" OR xenapp OR xendesktop OR citrix) AND kernel AND virtualization AND C++"
Front End Developer,202 OR 301 OR 410 OR 443 OR 703 OR 571 intitle:resume OR inurl:resume (&#34;web&#34; OR &#34;application&#34;) developer OR programmer &#34;AJAX&#34; OR &#34;Javascript&#34; OR &#34;JSON&#34; OR &#34;angular&#34; OR &#34;backbone&#34; OR &#34;SOA&#34; OR &#34;Service Oriented Architecture&#34;
Business Analyst,&#34;business analysis&#34; AND &#34;user stories&#34; AND sql AND agile
BI Developer / ETL,BI AND (&#34;Data modeller&#34; OR DataArchitect OR &#34;ETL developer&#34;) AND (GoldenGate OR &#34;golden gate&#34; OR informatica OR datastage OR attunity) AND (kimball OR ODS OR Marts) AND sql
Deputy project manager for Medicaid for State project,(&#34;Deputy Project&#34; OR &#34;project coordinator&#34;) AND Medicaid AND (state OR federal) AND (&#34;state of&#34; OR &#34;city of&#34;) AND (compliance OR procurement OR contract*)
Security Analyst,encryption AND firewalls AND Vulnerability AND &#34;data Security&#34;
Archer Developer / Admin,RSA AND archer AND PCI AND HIPAA
QA Project lead,(spice OR TPI OR TMMI OR cmmi OR opf OR opd OR ppqa) AND (jira OR confluence OR Atlassian) AND (Medicaid OR healthcare OR e-business) AND (&#34;test cases&#34; OR QA OR &#34;quality assurance&#34; OR test Scenarios)
Sr. Data Scientist,Python AND (&#34;machine learning&#34; OR &#34;ml&#34; OR &#34;algorithms&#34; OR predictive) AND (&#34;statistics&#34; OR &#34;statistical modeling&#34; OR &#34;r&#34;) AND (&#34;data scientist&#34; OR &#34;data analysis&#34; OR &#34;data mining&#34;)
Front End Dev,(&#34;Front-end&#34; OR &#34;front end&#34; OR Javascript) AND javascript AND (&#34;performance optimization&#34; OR &#34;data modeling&#34; OR &#34;data structures&#34; OR algorithms) AND (&#34;automated testing&#34; OR UI OR HTML OR MVC OR CSS)
.net developer,(NET or &#34;dot net&#34; OR &#34;.net&#34;) AND c# AND &#34;vb.net&#34; AND (warehousing OR &#34;data processing&#34;) AND (Jenkins OR &#34;continuous integration&#34; OR &#34;continuous delivery&#34; OR CD OR CI)
sr. software engineer,(software OR &#34;full stack&#34;) AND developer AND engineer AND Java AND (Angular OR Play OR Scala OR Kafka OR Storm OR Elasticsearch OR MongoDB OR Redis OR Mesos OR Docker OR Marathon OR Puppet OR Bamboo)
Unix Systems Engineer,Infrastructure AND (&#34;load balance&#34; OR &#34;load balancers&#34; OR &#34;load balancing&#34; OR F5 OR A10) AND (Unix OR &#34;flavors of linux&#34;) AND (cloud OR &#34;big data&#34; OR SOA OR Java OR c++)
Engineering Manager,&#34;scrum master&#34; AND (design OR coding OR testing OR code OR architecture) AND (agile OR Scrum OR sprints OR &#34;sprint backlog&#34; OR microservices OR &#34;micro services&#34; OR &#34;micro-services&#34; OR &#34;continuous integration&#34; OR &#34;continuous development&#34;) AND (sql OR PostgreSQL)
"Software sales, Software product Sales Sales and Business development Professional In Software companies",(&#34;sales manager&#34; OR &#34;Business development Manager&#34;) AND (&#34;Software sales&#34; OR &#34;Product Sales&#34;)
Blockchain Tech professionals,(&#34;Java Developer&#34; OR &#34;Sofware Engineeer&#34; OR &#34;software Developer&#34; OR &#34;Fullstack Developer&#34;) AND (Blockchain OR &#34;Blockchain Technologies&#34;)
entreprise Sales,((&#34;sales&#34; OR &#34;marketing&#34; OR &#34;management&#34; ) AND (&#34;strategy&#34; OR &#34;crm&#34; OR &#34;business development&#34; ) AND (&#34;enterprise sales&#34; OR &#34;selling&#34; OR &#34;growth&#34; OR &#34;salesforce&#34; OR &#34;enterprise&#34; ) )
Resume search for Hybris Java Dev Toronto,(intitle:resume OR intitle:cv OR inurl:resume OR inurl:cv) AND (developer OR programmer OR consultant) AND (java OR j2ee) AND Hybris AND Toronto
Clinical/RN Product Sales or Pre-sales,(â€œRegistered Nurseâ€ OR RN) AND Sales AND clinical AND (â€œintegration of clinical contentâ€ OR â€œclinical workflowâ€ OR â€œCrimsonâ€ OR â€œHealth Information Managementâ€ OR â€œSoftware Documentationâ€ OR â€œHITâ€ OR â€œHealthcare Information Technologyâ€ OR â€œPerformance Improvementâ€ OR â€œclinical informaticsâ€ OR â€œpopulation healthâ€ OR â€œpre-sales supportâ€ OR â€œdemonstrationâ€ OR â€œHospital Information Systemâ€ OR â€œHealth Information Exchangeâ€ OR â€œSoftware Implementationâ€ OR â€œinformaticsâ€ OR â€œStrategic Planningâ€ OR â€œsales and supportâ€ OR â€œQuality analyticsâ€ OR â€œOPPEâ€ OR â€œClinical product supportâ€ OR â€œnational sales teamâ€ OR â€œDemoâ€ OR â€œGroup Presentationsâ€ OR â€œSales Operationsâ€ OR â€œBenchmarkingâ€ OR â€œMedical Technologyâ€)
resumes from slideshare,site:slideshare.net (â€œData Scientistâ€ OR â€œMachine Learningâ€) (intitle:resume OR inurl:resume)(india)
resumes on github,site:github.com (â€œDOM AND HTML5â€) (intitle:resume OR inurl:resume)
React.js Engineer,(&#34;full-stack JS *&#34; OR &#34;full-stack *&#34; OR &#34;* front-end *&#34; OR &#34;js *&#34; OR &#34;javascript *&#34; OR &#34;frontend *&#34; OR &#34;front end *&#34; OR &#34;front-end *&#34; OR &#34;reactjs *&#34; OR &#34;react *&#34;) (graphql AND (redux OR mobx)) (reactjs  OR react OR react.js)
